slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,stem_width,cap_type_bin_3,stem_type_bin_3,cap_roundness_zone,stem_width_zone,cap_value_range_3,stem_value_range_3,cap_heatmap_bin_9,stem_heatmap_bin_9,type_id_within_color_1to9,global_type_id_1to72,is_noisy_type,noise_type,noise_alpha,gaussian_noise_mean,gaussian_noise_std,gaussian_noise_value,assigned_value_original,assigned_value_pre_noise,assigned_value_bin_anchor,assigned_value_nk_raw,assigned_value_nk_clipped,nk_cap_weight_bin1,nk_cap_weight_bin2,nk_cap_weight_bin3,nk_stem_weight_bin1,nk_stem_weight_bin2,nk_stem_weight_bin3,assigned_value_mixed_raw,assigned_value_mixed_clipped,assigned_value,reward_range_3,noise_delta,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,spot_radius,scale,have_ring,ring_position,have_pattern,pattern_type,pattern_label,external,in_neutral_rectangle
white-stem12-cap0p536-n1-a0p25--1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem12-cap0p536-n1-a0p25--1-r0-none-p0.png,images_balanced/white-stem12-cap0p536-n1-a0p25--1-r0-none-p0.png,images_balanced/white-stem12-cap0p536-n1-a0p25--1-r0-none-p0.png,white,"(255, 255, 255)",0.536,12,1,3,low,high,low,high,2,8,3,12,True,1,0.25,0.0,5.0,-0.772471,-1,-1,-2,-0.057865,-0.057865,0.710436,0.252143,0.037422,0.035891,0.23732,0.726789,-0.236517,-0.236517,-1,middle,0,0.196,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem13-cap0p536-n1-a0p25--1-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem13-cap0p536-n1-a0p25--1-r1-bottom-p0.png,images_balanced/white-stem13-cap0p536-n1-a0p25--1-r1-bottom-p0.png,images_balanced/white-stem13-cap0p536-n1-a0p25--1-r1-bottom-p0.png,white,"(255, 255, 255)",0.536,13,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,-1.506272,-1,-1,-2,-0.618673,-0.618673,0.710436,0.252143,0.037422,0.00944,0.046615,0.943945,-0.840573,-0.840573,-1,middle,0,0.197,22,14,2,8,2,16,True,bottom,False,0,none,True,False
white-stem14-cap0p536-n1-a0p25-+1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem14-cap0p536-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem14-cap0p536-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem14-cap0p536-n1-a0p25-+1-r0-none-p0.png,white,"(255, 255, 255)",0.536,14,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,3.509044,-1,-1,-2,-0.7669,-0.7669,0.710436,0.252143,0.037422,0.0,0.0,1.0,0.302086,0.302086,1,middle,2,0.199,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem03-cap0p566-n1-a0p25-+4-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem03-cap0p566-n1-a0p25-+4-r1-bottom-p0.png,images_balanced/white-stem03-cap0p566-n1-a0p25-+4-r1-bottom-p0.png,images_balanced/white-stem03-cap0p566-n1-a0p25-+4-r1-bottom-p0.png,white,"(255, 255, 255)",0.566,3,1,1,low,low,low,low,2,1,1,10,True,1,0.25,0.0,5.0,6.266829,3,3,2,3.172807,3.172807,0.651505,0.306054,0.042441,1.0,0.0,0.0,3.946312,3.946312,4,high,1,0.2,22,14,2,8,2,16,True,bottom,False,0,none,True,False
white-stem04-cap0p566-n1-a0p25-+3-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem04-cap0p566-n1-a0p25-+3-r0-none-p0.png,images_balanced/white-stem04-cap0p566-n1-a0p25-+3-r0-none-p0.png,images_balanced/white-stem04-cap0p566-n1-a0p25-+3-r0-none-p0.png,white,"(255, 255, 255)",0.566,4,1,1,low,low,low,low,2,1,1,10,True,1,0.25,0.0,5.0,2.523573,3,3,2,3.073099,3.073099,0.651505,0.306054,0.042441,0.943945,0.046615,0.00944,2.935718,2.935718,3,middle,0,0.202,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem05-cap0p566-n1-a0p25-+1-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem05-cap0p566-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem05-cap0p566-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem05-cap0p566-n1-a0p25-+1-r1-top-p0.png,white,"(255, 255, 255)",0.566,5,1,1,low,low,low,low,2,2,1,10,True,1,0.25,0.0,5.0,-6.069648,3,3,2,2.710131,2.710131,0.651505,0.306054,0.042441,0.726789,0.23732,0.035891,0.515186,0.515186,1,middle,-2,0.203,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem06-cap0p566-n1-a0p25-+1-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem06-cap0p566-n1-a0p25-+1-r1-bottom-p1.png,images_balanced/white-stem06-cap0p566-n1-a0p25-+1-r1-bottom-p1.png,images_balanced/white-stem06-cap0p566-n1-a0p25-+1-r1-bottom-p1.png,white,"(255, 255, 255)",0.566,6,1,1,low,low,low,low,2,3,1,10,True,1,0.25,0.0,5.0,-4.444553,2,2,2,2.195366,2.195366,0.651505,0.306054,0.042441,0.387503,0.558004,0.054493,0.535386,0.535386,1,middle,-1,0.204,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
white-stem07-cap0p566-n1-a0p25-+1-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem07-cap0p566-n1-a0p25-+1-r0-none-p1.png,images_balanced/white-stem07-cap0p566-n1-a0p25-+1-r0-none-p1.png,images_balanced/white-stem07-cap0p566-n1-a0p25-+1-r0-none-p1.png,white,"(255, 255, 255)",0.566,7,1,2,low,middle,low,middle,2,4,2,11,True,1,0.25,0.0,5.0,-2.20795,2,2,1,1.857595,1.857595,0.651505,0.306054,0.042441,0.118517,0.842784,0.038699,0.841209,0.841209,1,middle,-1,0.206,22,14,2,8,2,16,False,none,True,1,spots,True,False
white-stem08-cap0p566-n1-a0p25-+2-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem08-cap0p566-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem08-cap0p566-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem08-cap0p566-n1-a0p25-+2-r0-none-p2.png,white,"(255, 255, 255)",0.566,8,1,2,low,middle,low,middle,2,5,2,11,True,1,0.25,0.0,5.0,2.016887,2,2,1,1.779822,1.779822,0.651505,0.306054,0.042441,0.009834,0.983338,0.006829,1.839088,1.839088,2,middle,0,0.207,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem09-cap0p566-n1-a0p25-+3-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem09-cap0p566-n1-a0p25-+3-r0-none-p1.png,images_balanced/white-stem09-cap0p566-n1-a0p25-+3-r0-none-p1.png,images_balanced/white-stem09-cap0p566-n1-a0p25-+3-r0-none-p1.png,white,"(255, 255, 255)",0.566,9,1,2,low,middle,low,middle,2,5,2,11,True,1,0.25,0.0,5.0,7.237863,2,2,1,1.768723,1.768723,0.651505,0.306054,0.042441,0.006829,0.983338,0.009834,3.136008,3.136008,3,middle,1,0.209,22,14,2,8,2,16,False,none,True,1,spots,True,False
white-stem10-cap0p566-n1-a0p25-+3-r1-top-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem10-cap0p566-n1-a0p25-+3-r1-top-p2.png,images_balanced/white-stem10-cap0p566-n1-a0p25-+3-r1-top-p2.png,images_balanced/white-stem10-cap0p566-n1-a0p25-+3-r1-top-p2.png,white,"(255, 255, 255)",0.566,10,1,2,low,middle,low,middle,2,6,2,11,True,1,0.25,0.0,5.0,6.425363,2,2,1,1.562754,1.562754,0.651505,0.306054,0.042441,0.038699,0.842784,0.118517,2.778406,2.778406,3,middle,1,0.21,22,14,2,8,2,16,True,top,True,2,stripes,True,False
white-stem11-cap0p566-n1-a0p25-+1-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem11-cap0p566-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem11-cap0p566-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem11-cap0p566-n1-a0p25-+1-r1-top-p0.png,white,"(255, 255, 255)",0.566,11,1,3,low,high,low,high,2,7,3,12,True,1,0.25,0.0,5.0,0.784631,1,1,-2,0.965243,0.965243,0.651505,0.306054,0.042441,0.054493,0.558004,0.387503,0.92009,0.92009,1,middle,0,0.211,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem12-cap0p566-n1-a0p25-+1-r1-top-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem12-cap0p566-n1-a0p25-+1-r1-top-p1.png,images_balanced/white-stem12-cap0p566-n1-a0p25-+1-r1-top-p1.png,images_balanced/white-stem12-cap0p566-n1-a0p25-+1-r1-top-p1.png,white,"(255, 255, 255)",0.566,12,1,3,low,high,low,high,2,8,3,12,True,1,0.25,0.0,5.0,0.595742,1,1,-2,0.15799,0.15799,0.651505,0.306054,0.042441,0.035891,0.23732,0.726789,0.267428,0.267428,1,middle,0,0.213,22,14,2,8,2,16,True,top,True,1,spots,True,False
white-stem13-cap0p566-n1-a0p25--1-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem13-cap0p566-n1-a0p25--1-r1-top-p0.png,images_balanced/white-stem13-cap0p566-n1-a0p25--1-r1-top-p0.png,images_balanced/white-stem13-cap0p566-n1-a0p25--1-r1-top-p0.png,white,"(255, 255, 255)",0.566,13,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,-4.573048,-1,-1,-2,-0.378915,-0.378915,0.651505,0.306054,0.042441,0.00944,0.046615,0.943945,-1.427448,-1.427448,-1,middle,0,0.214,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem14-cap0p566-n1-a0p25-+2-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem14-cap0p566-n1-a0p25-+2-r0-none-p0.png,images_balanced/white-stem14-cap0p566-n1-a0p25-+2-r0-none-p0.png,images_balanced/white-stem14-cap0p566-n1-a0p25-+2-r0-none-p0.png,white,"(255, 255, 255)",0.566,14,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,8.062144,-1,-1,-2,-0.521139,-0.521139,0.651505,0.306054,0.042441,0.0,0.0,1.0,1.624682,1.624682,2,middle,3,0.216,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem03-cap0p597-n1-a0p25-+2-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem03-cap0p597-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem03-cap0p597-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem03-cap0p597-n1-a0p25-+2-r0-none-p2.png,white,"(255, 255, 255)",0.597,3,1,1,low,low,low,low,2,1,1,10,True,1,0.25,0.0,5.0,-3.675349,3,3,2,3.379461,3.379461,0.587196,0.365787,0.047016,1.0,0.0,0.0,1.615758,1.615758,2,middle,-1,0.217,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem04-cap0p597-n1-a0p25-+1-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem04-cap0p597-n1-a0p25-+1-r0-none-p2.png,images_balanced/white-stem04-cap0p597-n1-a0p25-+1-r0-none-p2.png,images_balanced/white-stem04-cap0p597-n1-a0p25-+1-r0-none-p2.png,white,"(255, 255, 255)",0.597,4,1,1,low,low,low,low,2,1,1,10,True,1,0.25,0.0,5.0,-5.393606,3,3,2,3.277106,3.277106,0.587196,0.365787,0.047016,0.943945,0.046615,0.00944,1.109428,1.109428,1,middle,-2,0.218,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem05-cap0p597-n1-a0p25-+1-r1-bottom-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem05-cap0p597-n1-a0p25-+1-r1-bottom-p2.png,images_balanced/white-stem05-cap0p597-n1-a0p25-+1-r1-bottom-p2.png,images_balanced/white-stem05-cap0p597-n1-a0p25-+1-r1-bottom-p2.png,white,"(255, 255, 255)",0.597,5,1,1,low,low,low,low,2,2,1,10,True,1,0.25,0.0,5.0,-3.828446,3,3,2,2.902582,2.902582,0.587196,0.365787,0.047016,0.726789,0.23732,0.035891,1.219825,1.219825,1,middle,-2,0.22,22,14,2,8,2,16,True,bottom,True,2,stripes,True,False
white-stem06-cap0p597-n1-a0p25-+2-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem06-cap0p597-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem06-cap0p597-n1-a0p25-+2-r0-none-p2.png,images_balanced/white-stem06-cap0p597-n1-a0p25-+2-r0-none-p2.png,white,"(255, 255, 255)",0.597,6,1,1,low,low,low,low,2,3,1,10,True,1,0.25,0.0,5.0,-0.821557,2,2,2,2.366837,2.366837,0.587196,0.365787,0.047016,0.387503,0.558004,0.054493,1.569738,1.569738,2,middle,0,0.221,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem07-cap0p597-n1-a0p25-+1-r1-middle-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem07-cap0p597-n1-a0p25-+1-r1-middle-p0.png,images_balanced/white-stem07-cap0p597-n1-a0p25-+1-r1-middle-p0.png,images_balanced/white-stem07-cap0p597-n1-a0p25-+1-r1-middle-p0.png,white,"(255, 255, 255)",0.597,7,1,2,low,middle,low,middle,2,4,2,11,True,1,0.25,0.0,5.0,-0.130525,2,2,1,2.008506,2.008506,0.587196,0.365787,0.047016,0.118517,0.842784,0.038699,1.473748,1.473748,1,middle,-1,0.223,22,14,2,8,2,16,True,middle,False,0,none,True,False
white-stem08-cap0p597-n1-a0p25-+2-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem08-cap0p597-n1-a0p25-+2-r1-top-p0.png,images_balanced/white-stem08-cap0p597-n1-a0p25-+2-r1-top-p0.png,images_balanced/white-stem08-cap0p597-n1-a0p25-+2-r1-top-p0.png,white,"(255, 255, 255)",0.597,8,1,2,low,middle,low,middle,2,5,2,11,True,1,0.25,0.0,5.0,1.808653,2,2,1,1.919147,1.919147,0.587196,0.365787,0.047016,0.009834,0.983338,0.006829,1.891524,1.891524,2,middle,0,0.224,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem09-cap0p597-n1-a0p25-+1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem09-cap0p597-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem09-cap0p597-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem09-cap0p597-n1-a0p25-+1-r0-none-p0.png,white,"(255, 255, 255)",0.597,9,1,2,low,middle,low,middle,2,5,2,11,True,1,0.25,0.0,5.0,-0.678022,2,2,1,1.908228,1.908228,0.587196,0.365787,0.047016,0.006829,0.983338,0.009834,1.261665,1.261665,1,middle,-1,0.225,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem10-cap0p597-n1-a0p25-+2-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem10-cap0p597-n1-a0p25-+2-r0-none-p1.png,images_balanced/white-stem10-cap0p597-n1-a0p25-+2-r0-none-p1.png,images_balanced/white-stem10-cap0p597-n1-a0p25-+2-r0-none-p1.png,white,"(255, 255, 255)",0.597,10,1,2,low,middle,low,middle,2,6,2,11,True,1,0.25,0.0,5.0,3.729952,2,2,1,1.718433,1.718433,0.587196,0.365787,0.047016,0.038699,0.842784,0.118517,2.221312,2.221312,2,middle,0,0.227,22,14,2,8,2,16,False,none,True,1,spots,True,False
white-stem11-cap0p597-n1-a0p25-+3-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem11-cap0p597-n1-a0p25-+3-r1-bottom-p1.png,images_balanced/white-stem11-cap0p597-n1-a0p25-+3-r1-bottom-p1.png,images_balanced/white-stem11-cap0p597-n1-a0p25-+3-r1-bottom-p1.png,white,"(255, 255, 255)",0.597,11,1,3,low,high,low,high,2,7,3,12,True,1,0.25,0.0,5.0,7.227365,1,1,-2,1.156606,1.156606,0.587196,0.365787,0.047016,0.054493,0.558004,0.387503,2.674296,2.674296,3,middle,2,0.228,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
white-stem12-cap0p597-n1-a0p25--2-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem12-cap0p597-n1-a0p25--2-r0-none-p1.png,images_balanced/white-stem12-cap0p597-n1-a0p25--2-r0-none-p1.png,images_balanced/white-stem12-cap0p597-n1-a0p25--2-r0-none-p1.png,white,"(255, 255, 255)",0.597,12,1,3,low,high,low,high,2,8,3,12,True,1,0.25,0.0,5.0,-7.43175,1,1,-2,0.39171,0.39171,0.587196,0.365787,0.047016,0.035891,0.23732,0.726789,-1.564155,-1.564155,-2,middle,-3,0.229,22,14,2,8,2,16,False,none,True,1,spots,True,False
white-stem13-cap0p597-n1-a0p25--2-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem13-cap0p597-n1-a0p25--2-r1-bottom-p0.png,images_balanced/white-stem13-cap0p597-n1-a0p25--2-r1-bottom-p0.png,images_balanced/white-stem13-cap0p597-n1-a0p25--2-r1-bottom-p0.png,white,"(255, 255, 255)",0.597,13,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,-5.747312,-1,-1,-2,-0.119087,-0.119087,0.587196,0.365787,0.047016,0.00944,0.046615,0.943945,-1.526143,-1.526143,-2,middle,-1,0.231,22,14,2,8,2,16,True,bottom,False,0,none,True,False
white-stem14-cap0p597-n1-a0p25--2-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem14-cap0p597-n1-a0p25--2-r0-none-p2.png,images_balanced/white-stem14-cap0p597-n1-a0p25--2-r0-none-p2.png,images_balanced/white-stem14-cap0p597-n1-a0p25--2-r0-none-p2.png,white,"(255, 255, 255)",0.597,14,1,3,low,high,low,high,2,9,3,12,True,1,0.25,0.0,5.0,-8.336995,-1,-1,-2,-0.254752,-0.254752,0.587196,0.365787,0.047016,0.0,0.0,1.0,-2.275313,-2.275313,-2,middle,-1,0.232,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem03-cap0p627-n1-a0p25-+3-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem03-cap0p627-n1-a0p25-+3-r1-bottom-p1.png,images_balanced/white-stem03-cap0p627-n1-a0p25-+3-r1-bottom-p1.png,images_balanced/white-stem03-cap0p627-n1-a0p25-+3-r1-bottom-p1.png,white,"(255, 255, 255)",0.627,3,1,1,low,low,low,low,3,1,1,10,True,1,0.25,0.0,5.0,1.51539,4,4,2,3.582479,3.582479,0.523101,0.426304,0.050594,1.0,0.0,0.0,3.065706,3.065706,3,middle,-1,0.234,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
white-stem04-cap0p627-n1-a0p25-+1-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem04-cap0p627-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem04-cap0p627-n1-a0p25-+1-r1-top-p0.png,images_balanced/white-stem04-cap0p627-n1-a0p25-+1-r1-top-p0.png,white,"(255, 255, 255)",0.627,4,1,1,low,low,low,low,3,1,1,10,True,1,0.25,0.0,5.0,-5.132041,3,3,2,3.47754,3.47754,0.523101,0.426304,0.050594,0.943945,0.046615,0.00944,1.325145,1.325145,1,middle,-2,0.235,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem05-cap0p627-n1-a0p25-+1-r1-middle-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem05-cap0p627-n1-a0p25-+1-r1-middle-p0.png,images_balanced/white-stem05-cap0p627-n1-a0p25-+1-r1-middle-p0.png,images_balanced/white-stem05-cap0p627-n1-a0p25-+1-r1-middle-p0.png,white,"(255, 255, 255)",0.627,5,1,1,low,low,low,low,3,2,1,10,True,1,0.25,0.0,5.0,-3.484508,3,3,2,3.091711,3.091711,0.523101,0.426304,0.050594,0.726789,0.23732,0.035891,1.447656,1.447656,1,middle,-2,0.236,22,14,2,8,2,16,True,middle,False,0,none,True,False
white-stem06-cap0p627-n1-a0p25--1-r1-top-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem06-cap0p627-n1-a0p25--1-r1-top-p2.png,images_balanced/white-stem06-cap0p627-n1-a0p25--1-r1-top-p2.png,images_balanced/white-stem06-cap0p627-n1-a0p25--1-r1-top-p2.png,white,"(255, 255, 255)",0.627,6,1,1,low,low,low,low,3,3,1,10,True,1,0.25,0.0,5.0,-10.295088,3,3,2,2.535391,2.535391,0.523101,0.426304,0.050594,0.387503,0.558004,0.054493,-0.672229,-0.672229,-1,middle,-4,0.238,22,14,2,8,2,16,True,top,True,2,stripes,True,False
white-stem07-cap0p627-n1-a0p25-+1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem07-cap0p627-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem07-cap0p627-n1-a0p25-+1-r0-none-p0.png,images_balanced/white-stem07-cap0p627-n1-a0p25-+1-r0-none-p0.png,white,"(255, 255, 255)",0.627,7,1,2,low,middle,low,middle,3,4,2,11,True,1,0.25,0.0,5.0,-2.772824,2,2,1,2.156833,2.156833,0.523101,0.426304,0.050594,0.118517,0.842784,0.038699,0.924418,0.924418,1,middle,-1,0.239,22,14,2,8,2,16,False,none,False,0,none,False,False
white-stem08-cap0p627-n1-a0p25-+1-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem08-cap0p627-n1-a0p25-+1-r0-none-p2.png,images_balanced/white-stem08-cap0p627-n1-a0p25-+1-r0-none-p2.png,images_balanced/white-stem08-cap0p627-n1-a0p25-+1-r0-none-p2.png,white,"(255, 255, 255)",0.627,8,1,2,low,middle,low,middle,3,5,2,11,True,1,0.25,0.0,5.0,-4.208857,2,2,1,2.056033,2.056033,0.523101,0.426304,0.050594,0.009834,0.983338,0.006829,0.489811,0.489811,1,middle,-1,0.241,22,14,2,8,2,16,False,none,True,2,stripes,True,False
white-stem09-cap0p627-n1-a0p25-+2-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem09-cap0p627-n1-a0p25-+2-r1-top-p0.png,images_balanced/white-stem09-cap0p627-n1-a0p25-+2-r1-top-p0.png,images_balanced/white-stem09-cap0p627-n1-a0p25-+2-r1-top-p0.png,white,"(255, 255, 255)",0.627,9,1,2,low,middle,low,middle,3,5,2,11,True,1,0.25,0.0,5.0,1.710881,2,2,1,2.045295,2.045295,0.523101,0.426304,0.050594,0.006829,0.983338,0.009834,1.961692,1.961692,2,middle,0,0.242,22,14,2,8,2,16,True,top,False,0,none,True,False
white-stem10-cap0p627-n1-a0p25-+2-r1-middle-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem10-cap0p627-n1-a0p25-+2-r1-middle-p0.png,images_balanced/white-stem10-cap0p627-n1-a0p25-+2-r1-middle-p0.png,images_balanced/white-stem10-cap0p627-n1-a0p25-+2-r1-middle-p0.png,white,"(255, 255, 255)",0.627,10,1,2,low,middle,low,middle,3,6,2,11,True,1,0.25,0.0,5.0,2.751934,2,2,1,1.871589,1.871589,0.523101,0.426304,0.050594,0.038699,0.842784,0.118517,2.091675,2.091675,2,middle,0,0.243,22,14,2,8,2,16,True,middle,False,0,none,True,False
white-stem11-cap0p627-n1-a0p25-+2-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem11-cap0p627-n1-a0p25-+2-r1-bottom-p1.png,images_balanced/white-stem11-cap0p627-n1-a0p25-+2-r1-bottom-p1.png,images_balanced/white-stem11-cap0p627-n1-a0p25-+2-r1-bottom-p1.png,white,"(255, 255, 255)",0.627,11,1,3,low,high,low,high,3,7,3,12,True,1,0.25,0.0,5.0,4.119369,1,1,-2,1.345313,1.345313,0.523101,0.426304,0.050594,0.054493,0.558004,0.387503,2.038827,2.038827,2,middle,1,0.245,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
white-stem12-cap0p627-n1-a0p25--1-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/white-stem12-cap0p627-n1-a0p25--1-r1-bottom-p0.png,images_balanced/white-stem12-cap0p627-n1-a0p25--1-r1-bottom-p0.png,images_balanced/white-stem12-cap0p627-n1-a0p25--1-r1-bottom-p0.png,white,"(255, 255, 255)",0.627,12,1,3,low,high,low,high,3,8,3,12,True,1,0.25,0.0,5.0,-4.435919,1,1,-2,0.62265,0.62265,0.523101,0.426304,0.050594,0.035891,0.23732,0.726789,-0.641992,-0.641992,-1,middle,-2,0.246,22,14,2,8,2,16,True,bottom,False,0,none,True,False
